id,niveles,depth,Choromytilus chorus,Cirripedio,Perumytilus purpuratus,Poliplacoforo,Tegula atra,Fissurella spp.,Concholepas concholepas,Almeja,Loxechinus albus,Cripidula dilatata,Aulacomya atra,Venus antiqua,Litorina araucana,Rissoina spp.
M5S3,0-5 cm,0,30,21,0,0,2,0,1,1,10,0,0,0,0,0
M5S3,10-15 cm,10,0,27,13,0,8,0,28,0,9,0,0,0,0,0
M5S3,20-25 cm,20,0,0,51,0,5,1,39,0,43,0,0,0,0,0
M5S3,30-35 cm,30,40,4,67,2,23,0,0,11,53,1,0,0,1,2
M5S3,40-45 cm,40,0,15,83,1,15,1,59,4,51,1,0,0,0,0
M5S3,50-55 cm,50,0,17,92,4,21,0,53,0,55,0,0,0,0,0
M5S3,60-65 cm,60,0,19,45,2,23,1,28,0,48,0,28,0,0,0
M5S3,70-75 cm,70,0,0,0,0,3,0,49,0,3,0,0,0,0,0
M5S3,80-85 cm,80,0,28,121,5,59,0,146,53,3,0,0,0,0,0
M5S3,90-95 cm,90,0,119,24,1,29,1,496,0,18,0,0,3,0,0
M5S3,100-105 cm,100,0,0,3,1,12,0,9,0,10,0,0,0,0,0
M5S3,110-115 cm,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5S3,120-125 cm,120,0,2,0,0,0,0,23,0,1,0,0,0,0,0
M5S3,130-135 cm,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5S3,140-145 cm,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0
